trial_id,drug_name,indication,phase,status,principal_investigator,sponsor,cro,target_participants,enrolled_participants,number_of_sites,start_date,expected_completion_date,primary_endpoint,secondary_endpoints,inclusion_criteria,exclusion_criteria,adverse_events_reported,serious_adverse_events,dropout_rate,protocol_version,created_at
NCT05847392,BIO-X1234,Non-Small Cell Lung Cancer,phase3,recruiting,Dr. Jennifer Martinez,BioPharm Global Inc,PrecisionCRO,650,387,45,2024-03-15,2027-09-30,Overall survival at 24 months,"Progression-free survival; Objective response rate; Quality of life (EORTC QLQ-C30)","Age 18-75; Histologically confirmed NSCLC; PD-L1 positive (≥50%); ECOG 0-1","Prior immunotherapy; Active autoimmune disease; Brain metastases",89,12,8.5,2.0,2024-03-10T08:00:00Z
NCT05912487,CARDIO-789,Acute Myocardial Infarction,phase2,active,Dr. William Chen,CardioTech Pharmaceuticals,GlobalTrials LLC,280,280,28,2023-11-01,2025-08-31,Reduction in infarct size by cardiac MRI at 7 days,"MACE at 30 days; Biomarker levels (troponin I CK-MB); Left ventricular ejection fraction","Age 18-80; STEMI within 12 hours; Planned PCI; No prior MI","Cardiogenic shock; Severe renal impairment (eGFR <30); Prior CABG",124,18,11.2,1.5,2023-10-25T09:30:00Z
NCT06023156,NEURO-456,Early Alzheimer's Disease,phase2,recruiting,Dr. Patricia O'Connor,NeuroGen Therapeutics,MindTrials CRO,420,215,35,2024-06-01,2026-12-31,Change in ADAS-Cog score from baseline to month 18,"CDR-SB; Amyloid PET imaging; Plasma p-tau217 levels; ADCS-ADL","Age 55-85; Mild cognitive impairment or mild AD; Amyloid positive PET; MMSE 20-26","Severe depression; Other neurodegenerative diseases; Anticoagulation therapy",67,8,9.8,1.0,2024-05-20T10:15:00Z
NCT06134829,DIAB-CURE,Type 2 Diabetes Mellitus,phase3,active,Dr. Rajesh Patel,EndoMetab Solutions,DiabetesCRO Plus,850,782,62,2023-08-15,2026-02-28,Mean change in HbA1c from baseline to week 52,"Fasting plasma glucose; Body weight change; Incidence of hypoglycemia","Age 18-70; HbA1c 7.5-10.5%; BMI 25-40; Failed metformin monotherapy","Type 1 diabetes; Severe hepatic impairment; History of pancreatitis",203,15,7.3,2.1,2023-08-10T11:00:00Z
NCT06245671,ONCO-IMMUNE,Metastatic Melanoma,phase1,active,Dr. Susan Kim,ImmunoOnc Pharma,OncologyTrials Inc,90,78,12,2024-09-01,2025-12-31,Maximum tolerated dose and dose-limiting toxicities,"Pharmacokinetics; Immunogenicity; Preliminary efficacy (ORR)","Age ≥18; Unresectable stage III or IV melanoma; Failed prior anti-PD-1; ECOG 0-2","Active CNS metastases; Prior anti-LAG-3 therapy; Autoimmune requiring steroids >10mg/day",45,7,12.8,1.0,2024-08-25T13:45:00Z
NCT06356743,RESP-CLEAR,Severe Asthma,phase2,recruiting,Dr. Thomas Anderson,RespiraTech Bio,RespiratoryResearch CRO,320,164,26,2024-07-01,2026-06-30,Annualized exacerbation rate at 52 weeks,"FEV1 improvement; ACQ-6 score; Blood eosinophil count; FeNO levels","Age 18-75; Severe uncontrolled asthma; ≥2 exacerbations in past year; ICS + LABA","Smoking >10 pack-years; Active lung infection; Parasitic infection",52,4,6.9,1.2,2024-06-25T09:00:00Z
NCT06467895,PAIN-FREE,Diabetic Neuropathy,phase2,recruiting,Dr. Michelle Roberts,NeuroPain Solutions,PainManagement CRO,450,227,38,2024-04-15,2026-10-31,Change in average daily pain score (0-10 NRS) at week 12,"Patient Global Impression of Change; Sleep quality; QOL (SF-36)","Age 18-80; Diabetes >1 year; Diabetic peripheral neuropathy; Pain score ≥4/10","Severe renal disease; Other painful conditions; Opioid dependence",78,9,10.5,1.0,2024-04-10T14:30:00Z
NCT06578921,IMMUNE-BALANCE,Rheumatoid Arthritis,phase3,recruiting,Dr. Daniel Foster,ArthritisCare Pharma,RheumTrials Global,720,518,54,2023-12-01,2026-09-30,ACR50 response at week 24,"DAS28-CRP; HAQ-DI; Radiographic progression; Fatigue scale","Age 18-70; Active RA (≥6 swollen ≥6 tender joints); Failed ≥1 DMARD; RF or anti-CCP positive","Previous biologic failure; Active infection; Malignancy within 5 years",168,21,9.2,1.8,2023-11-25T08:30:00Z
NCT06689047,MICRO-BIOME,Ulcerative Colitis,phase1,active,Dr. Laura Martinez,GutHealth Therapeutics,GI-Clinical Research,60,52,8,2024-10-01,2025-11-30,Safety and tolerability; Changes in gut microbiome composition,"Clinical remission rate; Endoscopic improvement; Fecal calprotectin","Age 18-65; Moderate to severe UC; Mayo score 6-12; Failed conventional therapy","Crohn's disease; C. difficile infection; Immunosuppression",28,3,8.3,1.0,2024-09-25T10:45:00Z
NCT06790123,VIRAL-STOP,Chronic Hepatitis B,phase2,recruiting,Dr. Kevin Wu,HepatoVirology Inc,LiverTrials Network,380,195,32,2024-05-15,2026-11-30,HBsAg loss at week 48,"HBV DNA suppression; ALT normalization; Anti-HBs seroconversion","Age 18-65; Chronic HBV >6 months; HBeAg negative; Compensated liver disease","Cirrhosis; Co-infection with HCV or HIV; Prior nucleoside analog failure",61,6,7.8,1.1,2024-05-10T11:20:00Z
