paper_id,title,abstract,authors,journal,publication_date,volume_issue,pages,doi,pmid,keywords,citations,impact_factor,research_area,methodology,key_findings,related_compounds,related_projects,funding_source,open_access,pdf_url,vector_embedding_model,created_at
RP-2024-001,"Novel β-Amyloid Oligomer Inhibitors: Structure-Activity Relationship of Substituted Diphenyl Pyrrolidines","Alzheimer's disease (AD) pathogenesis is characterized by accumulation of β-amyloid (Aβ) oligomers leading to synaptic dysfunction and neurodegeneration. We designed and synthesized a series of diphenyl pyrrolidine derivatives targeting Aβ oligomerization. Compound Neuroclear-28 demonstrated potent inhibition of Aβ oligomer formation (IC50=2.3 nM) with excellent blood-brain barrier permeability (Log BB=0.82). In APP/PS1 transgenic mice, Neuroclear-28 reduced cortical Aβ plaque burden by 67% and improved Morris water maze performance. Structure-activity relationship analysis revealed critical hydrogen bonding interactions between the fluorophenyl urea moiety and Aβ His13/His14 residues. Neuroclear-28 represents a promising therapeutic candidate for disease-modifying treatment of Alzheimer's disease.","Martinez EA, Chen J, Patel R, Thompson KL, Wilson DS, Anderson M","Nature Medicine",2024-03-15,30(3),445-458,10.1038/s41591-024-02891-x,38234567,"Alzheimer's disease; beta-amyloid oligomers; neurodegeneration; drug design; diphenyl pyrrolidines; blood-brain barrier; APP/PS1 mice",127,87.2,Neuroscience | Drug Discovery,"In vitro Aβ aggregation assays, Surface plasmon resonance, Transgenic mouse models, Morris water maze, Immunohistochemistry, Pharmacokinetic profiling","Neuroclear-28 inhibits Aβ oligomerization with IC50=2.3 nM; Reduces plaque burden 67% in vivo; Improves cognitive function in AD mouse model; BBB permeability Log BB=0.82; Well-tolerated in preclinical safety studies",Neuroclear-28 | Donepezil | Memantine,PROJ-I9J0K1L2,"NIH R01 AG078234, Alzheimer's Foundation Grant",TRUE,https://doi.org/10.1038/s41591-024-02891-x,text-embedding-3-small,2024-03-15T10:00:00Z
RP-2024-002,"Phase III Clinical Trial Results: Efficacy and Safety of Neuroclear-28 in Patients with Mild to Moderate Alzheimer's Disease","Background: Neuroclear-28, a novel β-amyloid oligomer inhibitor, has shown promising results in Phase II trials. Methods: This multicenter, randomized, double-blind, placebo-controlled Phase III trial (NCT05234567) enrolled 1,847 patients with mild to moderate AD (MMSE 16-26). Patients received Neuroclear-28 50mg BID or placebo for 18 months. Primary endpoint was change in ADAS-Cog13. Results: Neuroclear-28 demonstrated significant improvement in ADAS-Cog13 compared to placebo (difference: -3.2 points, p<0.001). Secondary endpoints showed improvement in ADCS-ADL (p=0.003) and CDR-SB (p=0.012). CSF biomarkers revealed 42% reduction in Aβ42/40 ratio. Adverse events were comparable between groups, with mild GI upset most common (12.3% vs 9.8%). Conclusion: Neuroclear-28 represents the first disease-modifying therapy to show clinically meaningful benefit in Phase III trials for Alzheimer's disease.","Thompson KL, Anderson M, Liu Y, Patel RS, Wilson D, Martinez E, Chen J, Roberts AB, for the Neuroclear-28 Study Group","New England Journal of Medicine",2024-06-20,390(25),2341-2354,10.1056/NEJMoa2401234,38876543,"Alzheimer's disease; clinical trial; Phase III; disease-modifying therapy; ADAS-Cog; amyloid biomarkers; efficacy; safety",243,176.1,Clinical Research | Neurology,"Randomized controlled trial, Double-blind, Placebo-controlled, ADAS-Cog13, ADCS-ADL, CDR-SB, CSF biomarkers, Safety monitoring","Primary endpoint met: ADAS-Cog13 improvement -3.2 points (p<0.001); Secondary endpoints significant for ADL and CDR-SB; CSF Aβ42/40 reduced 42%; Favorable safety profile; NNT=7 for clinically meaningful response",Neuroclear-28,PROJ-I9J0K1L2 | NCT-TRIAL-002,"NIH/NIA U01 AG087456, Pharma-Med Research Foundation",TRUE,https://doi.org/10.1056/NEJMoa2401234,text-embedding-3-small,2024-06-20T14:30:00Z
RP-2024-003,"Taxane Resistance Mechanisms in Triple-Negative Breast Cancer: Role of β-Tubulin Isotype Switching and Therapeutic Implications","Triple-negative breast cancer (TNBC) frequently develops resistance to taxane-based chemotherapy, limiting treatment options. We investigated resistance mechanisms in paclitaxel-resistant TNBC cell lines and patient-derived xenografts. RNA-seq analysis revealed upregulation of β-tubulin isotype III (TUBB3) and downregulation of TUBB1 in resistant cells. Proteomic studies confirmed increased βIII-tubulin protein expression (6.8-fold, p<0.001). Resistant cells exhibited altered microtubule dynamics with increased catastrophe frequency. CRISPR-Cas9 knockout of TUBB3 restored paclitaxel sensitivity (IC50 decreased from 245 nM to 12 nM). Patient tumor samples showed correlation between TUBB3 expression and poor response to taxane therapy (HR=2.4, p=0.003). Combination treatment with TUBB3 inhibitor TTI-101 and paclitaxel synergistically inhibited resistant tumor growth in vivo (TGI=78%). These findings identify β-tubulin isotype switching as a key resistance mechanism and suggest combination therapy strategies.","Chen M, Zhang L, Kumar V, Williams JR, Brown EK, Davis NH","Cancer Research",2024-04-12,84(8),1456-1472,10.1158/0008-5472.CAN-23-3456,38456789,"triple-negative breast cancer; paclitaxel resistance; beta-tubulin; microtubules; drug resistance; TUBB3; targeted therapy",89,11.2,Oncology | Cancer Biology,"Cell line models, Patient-derived xenografts, RNA-seq, Proteomics, CRISPR-Cas9, Microtubule dynamics assays, In vivo efficacy studies","TUBB3 upregulation (6.8-fold) drives taxane resistance; CRISPR knockout restores sensitivity (IC50 245→12 nM); Patient correlation: high TUBB3 predicts poor response (HR=2.4); Combination with TTI-101 achieves 78% tumor growth inhibition; Novel therapeutic strategy identified",Paclitaxel | Docetaxel | TTI-101,COMP-ONC-045,"NCI R01 CA234567, Breast Cancer Research Foundation",TRUE,https://doi.org/10.1158/0008-5472.CAN-23-3456,text-embedding-3-small,2024-04-12T11:00:00Z
RP-2024-004,"Metformin and Longevity: Large-Scale Population Study Reveals 15% Reduction in All-Cause Mortality in Diabetic Cohort","Objective: Evaluate long-term effects of metformin on mortality and age-related diseases. Methods: Retrospective analysis of 143,892 type 2 diabetes patients from UK Biobank database (2006-2023). Propensity score matching compared metformin users (n=78,234) vs. non-users (n=65,658). Mean follow-up: 14.2 years. Results: Metformin use associated with 15% reduction in all-cause mortality (HR=0.85, 95% CI: 0.81-0.89, p<0.0001). Cardiovascular mortality reduced 22% (HR=0.78, p<0.001). Cancer incidence decreased 12% (HR=0.88, p=0.002). Subgroup analysis revealed greater benefit in patients with BMI>30 (HR=0.79) and those starting therapy before age 60 (HR=0.82). Metformin users showed lower incidence of dementia (HR=0.89, p=0.018) and frailty (OR=0.76, p<0.001). Mechanisms may involve AMPK activation, reduced oxidative stress, and improved mitochondrial function. Conclusion: Metformin demonstrates pleiotropic benefits extending beyond glycemic control, supporting investigation as geroprotective agent.","Wilson JR, Thompson P, Anderson KL, Martinez C, Roberts D, Zhang Y, Patel M","The Lancet",2024-07-28,404(10452),567-579,10.1016/S0140-6736(24)01234-5,38998765,"metformin; longevity; mortality; type 2 diabetes; cardiovascular disease; cancer prevention; AMPK; aging",156,98.4,Epidemiology | Geriatric Medicine | Endocrinology,"Retrospective cohort study, Propensity score matching, Survival analysis, Cox regression, Subgroup analysis, UK Biobank data","All-cause mortality reduced 15% (HR=0.85); CV mortality -22%; Cancer incidence -12%; Dementia risk -11%; Greater benefit in obese patients and early treatment; Supports geroprotective hypothesis; TAME trial implications",Metformin | Phenformin,PROJ-M3N4O5P6,"Medical Research Council UK, Wellcome Trust 234567/Z/19/Z",TRUE,https://doi.org/10.1016/S0140-6736(24)01234-5,text-embedding-3-small,2024-07-28T09:15:00Z
RP-2024-005,"Neuraminidase Inhibitor Resistance in H1N1 Influenza: Structural Basis and Clinical Implications","The emergence of neuraminidase (NA) inhibitor resistance threatens influenza pandemic preparedness. We characterized oseltamivir-resistant H1N1 strains isolated during 2023-2024 flu season (n=287 isolates, 34 countries). Whole-genome sequencing identified H275Y NA mutation in 18.3% of samples, conferring 450-fold reduced susceptibility to oseltamivir (IC50: 2.5 nM → 1125 nM). Crystal structure of H275Y-mutant NA complexed with oseltamivir revealed disrupted hydrogen bonding with Glu276 and conformational changes in the 150-loop. Zanamivir retained activity against resistant strains (IC50=3.8 nM). Molecular dynamics simulations predicted binding affinity patterns consistent with experimental data. Patient outcomes analysis showed increased viral shedding duration (9.2 vs 4.1 days, p<0.001) and higher ICU admission rates (23% vs 8%, p=0.002) in resistant infections. Surveillance data indicates global spread with phylogenetic clustering. Findings emphasize need for alternative antivirals and vaccine strategies.","Kumar A, Lee SH, Tanaka Y, Smith JW, Rodriguez M, O'Brien KP","Science",2024-09-05,385(6710),789-802,10.1126/science.adh1234,39123456,"influenza; neuraminidase; oseltamivir; drug resistance; H275Y mutation; pandemic preparedness; antiviral therapy",112,44.7,Virology | Infectious Diseases | Structural Biology,"Viral surveillance, Whole-genome sequencing, Crystal structure determination, Molecular dynamics simulations, Drug susceptibility assays, Clinical outcomes analysis","H275Y mutation in 18.3% of isolates confers 450-fold oseltamivir resistance; Structural mechanism: disrupted H-bonding with Glu276; Zanamivir remains effective (IC50=3.8 nM); Resistant infections: longer viral shedding (9.2 vs 4.1 days), higher ICU rates (23% vs 8%); Global surveillance critical",Oseltamivir | Zanamivir | Peramivir,PROJ-A1B2C3D4,"WHO Grant 2023/1234567, NIH R01 AI098765",TRUE,https://doi.org/10.1126/science.adh1234,text-embedding-3-small,2024-09-05T13:45:00Z
RP-2024-006,"EGFR-Mutant Non-Small Cell Lung Cancer: Real-World Outcomes with Third-Generation TKI Therapy","Purpose: Evaluate real-world effectiveness of erlotinib in EGFR-mutant NSCLC patients. Methods: Multi-institutional retrospective cohort of 2,341 advanced NSCLC patients with activating EGFR mutations (exon 19 del or L858R) treated with erlotinib 150mg daily (2020-2024). Median age 64 years, 58% female, 67% Asian, 89% never-smokers. Results: Median progression-free survival (PFS) 11.2 months (95% CI: 10.6-11.9). Objective response rate 62.3%. PFS superior for exon 19 deletions vs L858R (12.8 vs 9.4 months, HR=0.74, p=0.001). CNS metastases at baseline associated with shorter PFS (8.7 vs 12.1 months, p<0.001). T790M resistance mutation detected in 58% of progressing patients. Grade 3+ rash occurred in 8.9%, diarrhea in 4.2%, ILD in 2.1%. Subsequent osimertinib therapy in T790M+ patients achieved median PFS of 14.6 months. Conclusion: Real-world outcomes validate clinical trial data, confirming erlotinib efficacy in EGFR-mutant NSCLC with predictable resistance patterns.","Tanaka M, Singh R, O'Brien P, Liu X, Anderson J, Martinez K, Patel S","Journal of Clinical Oncology",2024-10-18,42(30),3567-3580,10.1200/JCO.24.00789,39234567,"non-small cell lung cancer; EGFR mutation; erlotinib; tyrosine kinase inhibitor; T790M; real-world evidence; precision medicine",78,45.3,Oncology | Precision Medicine,"Retrospective cohort study, Real-world evidence, Survival analysis, NGS mutation profiling, Response assessment RECIST 1.1","Median PFS 11.2 months, ORR 62.3%; Exon 19 del superior to L858R (12.8 vs 9.4 months); CNS metastases predict worse outcomes; T790M in 58% at progression; Sequential osimertinib PFS 14.6 months; Safety profile consistent with trials",Erlotinib | Gefitinib | Osimertinib,COMP-ONC-045,"Cancer Research UK C12345/A67890, NIH/NCI U01 CA223456",FALSE,https://doi.org/10.1200/JCO.24.00789,text-embedding-3-small,2024-10-18T16:20:00Z
RP-2024-007,"DPP-4 Inhibitors and Cardiovascular Outcomes: Meta-Analysis of 43 Randomized Controlled Trials","Background: Cardiovascular safety of DPP-4 inhibitors remains debated. We performed comprehensive meta-analysis to evaluate CV outcomes. Methods: Systematic review of MEDLINE, Embase, Cochrane databases (inception-2024). Included 43 RCTs (n=87,234 patients) comparing DPP-4 inhibitors (sitagliptin, saxagliptin, linagliptin, alogliptin) vs placebo/active controls. Primary outcome: MACE (CV death, MI, stroke). Results: DPP-4 inhibitors showed neutral effect on MACE (RR=0.99, 95% CI: 0.94-1.05, I²=12%). No significant impact on individual endpoints: CV death (RR=1.02), MI (RR=0.97), stroke (RR=0.98). Heart failure hospitalization showed heterogeneity: saxagliptin increased risk (RR=1.27, p=0.007), sitagliptin neutral (RR=1.01), linagliptin protective trend (RR=0.89, p=0.08). Hypoglycemia rates lower vs sulfonylureas (RR=0.41). Pancreatitis risk not significantly elevated (RR=1.11, p=0.32). Subgroup analysis revealed consistent effects across age, renal function, baseline HbA1c. Conclusion: DPP-4 inhibitors are CV-neutral with agent-specific HF considerations.","Roberts DM, Chang E, Wilson K, Patel N, Anderson L, Martinez J","Diabetes Care",2024-11-22,47(11),1890-1903,10.2337/dc24-1234,39345678,"DPP-4 inhibitors; cardiovascular outcomes; meta-analysis; type 2 diabetes; heart failure; sitagliptin; MACE; safety",92,16.2,Endocrinology | Cardiology | Meta-Research,"Systematic review, Meta-analysis, Random-effects model, Subgroup analysis, Sensitivity analysis, GRADE assessment, Trial sequential analysis","MACE neutral across class (RR=0.99); Agent-specific HF signals: saxagliptin increases risk (RR=1.27), sitagliptin neutral, linagliptin protective trend; Lower hypoglycemia vs sulfonylureas (RR=0.41); No pancreatitis signal; Effects consistent across subgroups; Safe CV profile for most agents",Sitagliptin | Saxagliptin | Linagliptin,PROJ-M3N4O5P6,"American Diabetes Association Grant 1-18-ICTS-123, NIDDK R01 DK234567",TRUE,https://doi.org/10.2337/dc24-1234,text-embedding-3-small,2024-11-22T10:30:00Z
RP-2024-008,"Multi-Kinase Inhibitor Sorafenib in Hepatocellular Carcinoma: Biomarkers of Response and Resistance","Background: Sorafenib demonstrates variable efficacy in HCC. We sought to identify predictive biomarkers. Methods: Prospective study of 456 advanced HCC patients receiving sorafenib 400mg BID. Baseline tumor biopsies underwent multi-omic profiling (WES, RNA-seq, proteomics, phosphoproteomics). Primary endpoint: PFS. Results: Median PFS 5.8 months (95% CI: 5.1-6.5), OS 10.7 months. Responders (PR/SD>6 months, n=134) vs non-responders (PD<3 months, n=189) showed distinct molecular profiles. High VEGFR2 expression predicted longer PFS (8.9 vs 4.2 months, HR=0.58, p<0.001). RAF1/MAPK pathway activation associated with response (OR=3.4, p=0.002). FGF19 amplification and activated PI3K/AKT signaling predicted resistance (HR=1.87, p=0.004). Tumor-infiltrating lymphocyte density correlated with improved outcomes. Elevated baseline AFP>400 ng/mL predicted poor response (HR=1.64, p=0.008). Development cohort biomarker signature achieved AUC=0.78 for PFS>6 months prediction. Validation cohort (n=234) confirmed signature performance (AUC=0.74). Conclusion: Multi-omic profiling identifies HCC subsets benefiting from sorafenib, guiding precision therapy selection.","Lee KH, Zhang Y, Nakamura T, Silva R, Johnson M, Patel A, Rodriguez E","Hepatology",2024-08-15,80(2),445-461,10.1002/hep.32567,39156789,"hepatocellular carcinoma; sorafenib; biomarkers; precision oncology; VEGFR2; multi-kinase inhibitor; genomics; proteomics",67,14.7,Oncology | Hepatology | Precision Medicine,"Prospective biomarker study, Multi-omic profiling, WES, RNA-seq, Proteomics, Phosphoproteomics, Predictive modeling, External validation","Median PFS 5.8 months, OS 10.7 months; High VEGFR2 predicts longer PFS (8.9 vs 4.2 months, HR=0.58); RAF1/MAPK activation associated with response (OR=3.4); FGF19 amplification predicts resistance (HR=1.87); Multi-omic signature: AUC=0.78 development, 0.74 validation; Enables patient selection",Sorafenib | Regorafenib | Lenvatinib,COMP-ONC-045,"NIH/NCI P01 CA234567, American Cancer Society RSG-23-456789",FALSE,https://doi.org/10.1002/hep.32567,text-embedding-3-small,2024-08-15T14:00:00Z
RP-2024-009,"Statin Pleiotropic Effects Beyond Lipid Lowering: Mechanisms and Clinical Implications","Statins (HMG-CoA reductase inhibitors) exhibit pleiotropic effects independent of cholesterol reduction. We review molecular mechanisms underlying these benefits. Statins inhibit isoprenoid synthesis, affecting Rho GTPase prenylation and downstream signaling. This modulates endothelial function via increased eNOS expression and NO bioavailability. Anti-inflammatory effects include reduced C-reactive protein (30-40% reduction), decreased NF-κB activation, and stabilized atherosclerotic plaques. Atorvastatin demonstrates potent anti-inflammatory activity (IC50=8 nM HMG-CoA reductase). Immunomodulatory properties involve Th1/Th2 balance shift and regulatory T-cell promotion. Antithrombotic effects result from decreased tissue factor expression and enhanced fibrinolysis. Neuroprotective mechanisms include Aβ reduction, anti-oxidant effects, and improved cerebral blood flow. Clinical evidence: JUPITER trial showed 44% reduction in first CV events despite normal LDL-C. Meta-analyses demonstrate reduced stroke risk (RR=0.79), improved outcomes in sepsis (RR=0.61 mortality), and potential benefits in Alzheimer's disease. Bone health effects remain controversial. Cancer prevention signals require further investigation. Current data support expanded indications beyond traditional CV risk reduction.","Thompson RS, Martinez C, Anderson P, Wilson J, Chen L, Kumar S","Nature Reviews Drug Discovery",2024-05-30,23(5),367-389,10.1038/nrd.2024.89,38567890,"statins; pleiotropic effects; inflammation; endothelial function; cardiovascular disease; neuroprotection; HMG-CoA reductase; atorvastatin",203,75.8,Pharmacology | Cardiovascular Medicine | Drug Discovery,"Mechanism review, Meta-analysis, Molecular pharmacology, Clinical trial synthesis, Pathway analysis","Pleiotropic mechanisms: isoprenoid inhibition affects Rho GTPases; Anti-inflammatory: 30-40% CRP reduction, NF-κB inhibition; Endothelial function: increased eNOS/NO; JUPITER trial: 44% CV event reduction with normal LDL-C; Stroke risk reduced (RR=0.79); Sepsis mortality benefit (RR=0.61); Neuroprotective effects; Evidence supports expanded indications",Atorvastatin | Rosuvastatin | Simvastatin,PROJ-Q7R8S9T0,"British Heart Foundation PG/23/10567, NIH/NHLBI R01 HL234567",TRUE,https://doi.org/10.1038/nrd.2024.89,text-embedding-3-small,2024-05-30T11:45:00Z
RP-2024-010,"Anthracycline-Induced Cardiotoxicity: Molecular Mechanisms and Cardioprotective Strategies","Anthracyclines (doxorubicin, daunorubicin) are highly effective chemotherapeutics limited by dose-dependent cardiotoxicity. Mechanisms include: (1) Oxidative stress via iron-mediated ROS generation and mitochondrial dysfunction; (2) Topoisomerase IIβ inhibition in cardiomyocytes leading to DNA double-strand breaks; (3) Mitochondrial biogenesis impairment through PGC-1α downregulation; (4) Disrupted calcium homeostasis and ER stress; (5) Activation of apoptotic pathways via cytochrome c release. Risk factors: cumulative dose >550 mg/m², age extremes, pre-existing cardiac disease, concurrent radiation. Clinical manifestations range from asymptomatic LV dysfunction (prevalence 9-18%) to overt heart failure (1.7-5.1%). Cardioprotective strategies: (A) Dexrazoxane (iron chelation) reduces cardiotoxicity 73% without compromising oncologic efficacy; (B) Liposomal formulations decrease cardiac exposure; (C) Beta-blockers and ACE inhibitors show protective effects. Biomarkers: troponin elevation within 72 hours predicts long-term dysfunction; BNP, GLS echo monitoring. Novel approaches include mitochondria-targeted antioxidants, neuregulin-1β therapy, and PARP inhibitors. Survivorship care requires long-term cardiac surveillance.","Wilson DM, Kumar A, Roberts K, Zhang L, Anderson M, Patel N, Martinez E","Circulation",2024-07-10,150(2),178-195,10.1161/CIRCULATIONAHA.124.056789,38789012,"doxorubicin; cardiotoxicity; chemotherapy; anthracyclines; heart failure; oxidative stress; cancer survivorship; cardio-oncology",134,37.8,Cardiology | Oncology | Toxicology,"Mechanistic review, Clinical evidence synthesis, Biomarker analysis, Risk stratification, Prevention strategies","Five key mechanisms: oxidative stress, Top2β inhibition, mitochondrial dysfunction, Ca2+ dysregulation, apoptosis; Incidence: asymptomatic LV dysfunction 9-18%, HF 1.7-5.1%; Dexrazoxane reduces risk 73%; Liposomal formulations decrease cardiac exposure; Troponin/BNP/GLS for monitoring; Novel targets: mitochondrial antioxidants, neuregulin-1β; Lifelong surveillance required",Doxorubicin | Daunorubicin | Epirubicin,PROJ-E5F6G7H8,"American Heart Association 23CDA1234567, NCI R01 CA345678",TRUE,https://doi.org/10.1161/CIRCULATIONAHA.124.056789,text-embedding-3-small,2024-07-10T15:30:00Z
