publication_id,title,authors,journal,publication_date,volume,issue,pages,doi,pmid,abstract,keywords,research_area,publication_type,impact_factor,citations,open_access,pdf_url,related_projects,related_compounds,funding_source,institution,corresponding_author,created_at
PUB-2024-001,"Dual Checkpoint Inhibition with Tumorblocker-9X Demonstrates Superior Anti-Tumor Activity in Advanced Melanoma","Kim SY Martinez JL Rodriguez MJ Chen WH Watson EM",Nature Medicine,2024-11-15,30,11,2456-2468,10.1038/s41591-024-03289-1,39847621,"Background: Dual checkpoint blockade targeting PD-L1 and LAG-3 represents a promising strategy for cancer immunotherapy. We evaluated Tumorblocker-9X a novel bispecific antibody in patients with advanced melanoma. Methods: Phase 1 dose-escalation study enrolled 78 patients with metastatic melanoma who progressed on prior anti-PD-1 therapy. Primary endpoints were safety and maximum tolerated dose. Secondary endpoints included objective response rate and duration of response. Results: MTD was established at 480mg Q3W. ORR was 31% (24/78 patients) with median DOR of 11.2 months. Most common AEs were rash (23%) pruritus (18%) and fatigue (15%). Grade 3-4 immune-related AEs occurred in 9% of patients. Tumorblocker-9X demonstrated higher LAG-3 binding affinity (KD=0.8nM) compared to existing agents. Conclusion: Tumorblocker-9X shows promising efficacy and manageable safety profile warranting Phase 2 evaluation.","Checkpoint inhibitors, PD-L1, LAG-3, Melanoma, Immunotherapy, Bispecific antibody",Oncology,Original Research,87.2,12,Yes,https://nature.com/articles/s41591-024-03289-1.pdf,COMP-ONC-045,COMP-ONC-045,"NIH NCI Grant R01CA245789, ImmunoOnc Pharma",Stanford University School of Medicine,Dr. Susan Kim (skim@stanford.edu),2024-11-15T10:00:00Z
PUB-2024-002,"Neuroclear-28 Reduces Amyloid Burden and Improves Cognitive Function in Early Alzheimer's Disease: Phase 2 Clinical Trial Results","Watson EM O'Connor PF Martinez JL Park RJ Kumar DV",The Lancet Neurology,2024-10-22,23,10,1122-1135,10.1016/S1474-4422(24)00378-5,39435678,"Background: Beta-amyloid oligomers contribute to synaptic dysfunction and cognitive decline in Alzheimer's disease. Neuroclear-28 is an oral small molecule inhibitor of Aβ oligomerization. Methods: Randomized double-blind placebo-controlled Phase 2 trial of Neuroclear-28 in 215 patients with mild cognitive impairment or mild AD. Primary endpoint was change in ADAS-Cog at 18 months. Secondary endpoints included amyloid PET CDR-SB and safety. Results: Neuroclear-28 significantly improved ADAS-Cog score (-2.8 points vs placebo p=0.003). Amyloid PET showed 42% reduction in brain Aβ load. Treatment was well-tolerated with no safety signals. Plasma p-tau217 decreased by 38%. Conclusion: Neuroclear-28 demonstrates meaningful clinical benefit and represents a promising oral therapy for early AD.","Alzheimer's disease, Amyloid-beta, Cognitive function, Clinical trial, Neuroprotection, Small molecule",Neurology,Original Research,59.8,28,No,https://thelancet.com/journals/laneur/article/PIIS1474-4422(24)00378-5/fulltext,PROJ-I9J0K1L2,COMP-ALZ-001,"NIH NIA Grant R01AG067234, NeuroGen Therapeutics",Harvard Medical School,Dr. Emily Watson (ewatson@hms.harvard.edu),2024-10-22T09:30:00Z
PUB-2024-003,"Cardiofix-Pro Dual SGLT2/Neprilysin Inhibition Prevents Cardiac Remodeling Post-Myocardial Infarction: Preclinical Evidence","Thompson LS Chen WH Anderson TM Foster DJ Brown CK",Circulation,2024-09-18,150,12,945-959,10.1161/CIRCULATIONAHA.124.069234,39298765,"Background: Heart failure post-MI remains a major cause of morbidity. We evaluated Cardiofix-Pro a dual SGLT2/neprilysin inhibitor for cardioprotection. Methods: Rat LAD ligation model (n=48). Treatment groups: vehicle Cardiofix-Pro (10mg/kg BID) sacubitril/valsartan or empagliflozin. Endpoints: LVEF infarct size cardiac fibrosis at 28 days. Molecular mechanisms investigated via RNA-seq and immunohistochemistry. Results: Cardiofix-Pro improved LVEF by 14% reduced infarct size by 42% and decreased fibrosis by 68% (all p<0.01 vs vehicle). Superior to monotherapy controls. Mechanism involves reduced oxidative stress preserved mitochondrial function and inhibition of TGF-β pathway. No safety concerns observed. Conclusion: Cardiofix-Pro demonstrates superior cardioprotection warranting clinical development.","Heart failure, Myocardial infarction, SGLT2 inhibitor, Neprilysin, Cardiac remodeling, Cardioprotection",Cardiovascular,Original Research,37.8,15,Yes,https://ahajournals.org/doi/10.1161/CIRCULATIONAHA.124.069234,PROJ-Q7R8S9T0,COMP-CARD-127,"American Heart Association Grant 23POST1019847, CardioTech Pharmaceuticals",Johns Hopkins University,Dr. Lisa Thompson (lthompson@jhmi.edu),2024-09-18T11:00:00Z
PUB-2024-004,"Triple Agonist Peptide Glucobalance-4T Achieves Superior Glycemic Control and Weight Loss in Type 2 Diabetes","Park JH Patel RK Kumar DV Zhang RL Martinez LM",New England Journal of Medicine,2024-08-29,391,9,789-802,10.1056/NEJMoa2401234,39190123,"Background: GLP-1-based therapies have revolutionized diabetes treatment. We investigated Glucobalance-4T a novel GLP-1/GIP/glucagon tri-agonist. Methods: Phase 2 randomized controlled trial comparing Glucobalance-4T (n=186) vs semaglutide (n=182) in adults with T2D and BMI ≥27. Primary endpoint: HbA1c change at 26 weeks. Secondary: weight loss safety. Results: Glucobalance-4T reduced HbA1c by 2.1% vs 1.6% for semaglutide (p<0.001). Mean weight loss 12.4kg vs 9.8kg (p=0.003). Triple mechanism provided superior metabolic benefits. GI tolerability comparable with titration protocol. No pancreatitis or severe hypoglycemia. Conclusion: Glucobalance-4T represents next-generation metabolic therapy with best-in-class efficacy.","Type 2 diabetes, GLP-1 agonist, Incretin, Weight loss, Tri-agonist, Metabolic syndrome",Endocrinology,Original Research,176.1,45,No,https://nejm.org/doi/full/10.1056/NEJMoa2401234,PROJ-M3N4O5P6,COMP-DIAB-089,"NIH NIDDK Grant R01DK123456, EndoMetab Solutions",Mayo Clinic,Dr. James Park (park.james@mayo.edu),2024-08-29T08:00:00Z
PUB-2024-005,"Selective Nav1.7 Channel Blockade with Painaway-SR for Treatment-Resistant Neuropathic Pain","Roberts MH Wu KL Lee JM Torres MD Anderson TM",JAMA Neurology,2024-07-12,81,7,723-735,10.1001/jamaneurol.2024.2134,38985432,"Background: Neuropathic pain management remains challenging with limited non-opioid options. Painaway-SR selectively targets Nav1.7 sodium channels. Methods: Phase 2 randomized placebo-controlled trial in 227 patients with diabetic neuropathy pain score ≥4/10. Primary endpoint: change in daily pain score at 12 weeks. Secondary: sleep quality QOL 50% responder rate. Results: Painaway-SR reduced pain by 3.2 points vs 1.1 for placebo (p<0.001). Responder rate 54% vs 23%. Improved sleep and QOL. No cardiac effects or QT prolongation. Dizziness (12%) resolved with titration. Conclusion: Painaway-SR provides significant pain relief without opioid-related risks or cardiac toxicity.","Neuropathic pain, Nav1.7, Sodium channel, Diabetic neuropathy, Pain management, Non-opioid analgesic",Neurology,Original Research,32.4,19,Yes,https://jamanetwork.com/journals/jamaneurology/fullarticle/2821345,PROJ-Y5Z6A7B8,COMP-PAIN-203,"NIH NINDS Grant R01NS098765, NeuroPain Solutions",University of California San Francisco,Dr. Michelle Roberts (michelle.roberts@ucsf.edu),2024-07-12T14:30:00Z
PUB-2023-006,"Novel Fluoroquinolone Bactershield-XR Overcomes Antibiotic Resistance in Multi-Drug Resistant Gram-Positive and Gram-Negative Bacteria","Chen SY Martinez JL Brown CK Park RJ Anderson TM",Antimicrobial Agents and Chemotherapy,2023-12-08,67,12,e01234-23,10.1128/AAC.01234-23,38063412,"Background: Antibiotic resistance threatens global health. We developed Bactershield-XR a novel fluoroquinolone with dual DNA gyrase/topoisomerase IV mechanism. Methods: In vitro susceptibility testing against 250 clinical isolates including MRSA VRE ESBL and CRE. Murine thigh and lung infection models. Resistance selection studies. PK/PD analysis. Results: Bactershield-XR demonstrated MIC90 ≤1 µg/mL against all tested MDR pathogens including quinolone-resistant strains. Superior bactericidal activity vs comparators. Low resistance frequency (<10⁻⁹). In vivo efficacy in infection models with 3-4 log CFU reduction. Favorable safety profile no QT prolongation. Conclusion: Bactershield-XR represents promising agent for MDR infections.","Antibiotic resistance, Fluoroquinolone, MRSA, Gram-negative bacteria, Drug development, Antimicrobial activity",Infectious Diseases,Original Research,5.9,23,Yes,https://journals.asm.org/doi/10.1128/AAC.01234-23,PROJ-A1B2C3D4,COMP-ANTI-156,"NIH NIAID Grant R01AI145678, BioPharm Global Inc",University of Pennsylvania,Dr. Sarah Chen (schen@upenn.edu),2023-12-08T10:15:00Z
PUB-2024-007,"Dual IL-4Rα/IL-5Rα Blockade with Broncho-Clear in Severe Eosinophilic Asthma","Kumar DV Anderson TM Martinez LM Roberts MH Foster DJ",American Journal of Respiratory and Critical Care Medicine,2024-06-20,209,12,1401-1415,10.1164/rccm.202402-0345OC,38901234,"Background: Severe asthma patients often require multiple biologics. Broncho-Clear is a bispecific antibody targeting IL-4Rα and IL-5Rα. Methods: Phase 1b study in 52 patients with severe eosinophilic asthma. Escalating doses SC Q2W for 24 weeks. Primary: safety pharmacodynamics. Secondary: exacerbations FEV1 ACQ-6. Results: Well-tolerated no SAEs. Blood eosinophils decreased 92% FeNO reduced 68%. Zero exacerbations vs 2.8/year baseline. FEV1 improved 310 mL ACQ-6 improved 1.8 points. Dual blockade superior to historical monotherapy. Conclusion: Broncho-Clear demonstrates robust efficacy and safety advancing to Phase 2.","Asthma, Eosinophils, Biologic therapy, IL-4 receptor, IL-5 receptor, Bispecific antibody",Respiratory,Original Research,24.7,8,No,https://atsjournals.org/doi/10.1164/rccm.202402-0345OC,PROJ-U1V2W3X4,COMP-RESP-078,"NIH NHLBI Grant R01HL156789, RespiraTech Bio",National Jewish Health,Dr. David Kumar (dkumar@njhealth.org),2024-06-20T09:00:00Z
PUB-2024-008,"CAR-T Cell Therapy with Dual CD19/CD20 Targeting Achieves High Response Rates in Relapsed/Refractory B-Cell Lymphoma","Rodriguez MJ Kim SY Thompson LS Chen WH Watson EM",Blood,2024-05-15,143,20,2018-2032,10.1182/blood.2024021345,38753901,"Background: Single-target CAR-T therapies face antigen escape. We developed Immunoharmony-B with dual CD19/CD20 targeting. Methods: Phase 1 study in 32 patients with r/r DLBCL. Lymphodepletion followed by single infusion. Primary: safety CRS ICANS. Secondary: ORR CR DOR. Results: CR rate 78% (25/32) ORR 84%. Median DOR not reached at 12 months. CRS grade 1-2 in 68% manageable with tocilizumab. ICANS rare (8%). CAR-T expansion detected 12+ months. No antigen-negative relapses observed. Conclusion: Dual targeting prevents escape mechanisms and achieves durable remissions. Proceeding to pivotal trial.","CAR-T cell therapy, Lymphoma, CD19, CD20, Immunotherapy, Cell therapy",Oncology,Original Research,20.3,34,Yes,https://ashpublications.org/blood/article/143/20/2018/512345,PROJ-E5F6G7H8,COMP-IMMUNO-234,"NIH NCI Grant R01CA187654 CIRM Grant CLIN2-12345, ImmunoOnc Pharma",City of Hope,Dr. Michael Rodriguez (mrodriguez@coh.org),2024-05-15T11:30:00Z
PUB-2024-009,"Microbiome-Based Therapy for Inflammatory Bowel Disease: Engineered Probiotic Strains Target Immune Dysregulation","Zhang RL Martinez LM Kumar DV Foster DJ Park JH",Cell Host & Microbe,2024-04-10,32,4,512-527,10.1016/j.chom.2024.03.012,38612345,"Background: IBD involves microbiome dysbiosis and immune dysfunction. We engineered probiotic strains for targeted immunomodulation. Methods: Computational design of bacteria expressing anti-inflammatory molecules. In vitro validation in intestinal organoids. Phase 1 clinical study (n=52) in moderate-severe UC. Safety microbiome composition clinical endpoints. Results: Engineered strains colonized gut and expressed target molecules. Favorable microbiome shifts with increased butyrate producers. Clinical remission 42% endoscopic improvement 58%. Fecal calprotectin decreased 62%. Well-tolerated no SAEs. Conclusion: Microbiome therapeutics represent paradigm shift for IBD treatment.","Microbiome, Probiotics, Inflammatory bowel disease, Ulcerative colitis, Synthetic biology, Immunomodulation",Immunology,Original Research,30.3,16,Yes,https://cell.com/cell-host-microbe/fulltext/S1931-3128(24)00089-4,PROJ-C9D0E1F2,N/A,"NIH NIDDK Grant R01DK234567, GutHealth Therapeutics",MIT,Dr. Robert Zhang (rzhang@mit.edu),2024-04-10T13:00:00Z
PUB-2024-010,"Dual HBV Polymerase and Capsid Inhibitor ViralGuard-HC Achieves Functional Cure in Chronic Hepatitis B","Wu KL Roberts MH Chen SY Park RJ Martinez JL",Journal of Hepatology,2024-03-25,80,3,445-459,10.1016/j.jhep.2024.01.023,38423456,"Background: Functional cure defined as HBsAg loss remains elusive in CHB. ViralGuard-HC targets HBV polymerase and capsid assembly. Methods: Phase 1b study 52 patients with CHB. ViralGuard-HC monotherapy or with NUC for 48 weeks. Primary: safety HBsAg decline. Secondary: HBV DNA HBeAg cccDNA. Results: HBsAg decreased 1.5 log10 in monotherapy 2.3 log10 in combination. HBV DNA undetectable 82% at week 48. HBsAg loss achieved in 15% patients. Liver cccDNA reduced 52%. Transient ALT elevations (grade 1-2) no hepatic decompensation. Conclusion: ViralGuard-HC shows potential for functional cure particularly in combination therapy.","Hepatitis B virus, HBsAg, Capsid inhibitor, Antiviral therapy, Functional cure, Direct-acting antiviral",Infectious Diseases,Original Research,25.7,21,No,https://journal-of-hepatology.eu/article/S0168-8278(24)00123-X/fulltext,PROJ-A1B2C3D4,COMP-VIRAL-167,"NIH NIAID Grant R01AI234567, HepatoVirology Inc",University of California San Diego,Dr. Kevin Wu (kwu@health.ucsd.edu),2024-03-25T10:45:00Z
